source	target	resources
GATA2	CEBPA	CollecTRI;ExTRI2_CollecTRI2;CollecTRI2;GEREDB_CollecTRI;GEREDB_CollecTRI2
GATA2	GATA1	SIGNOR_CollecTRI;TfactS_CollecTRI2;DoRothEA-A_CollecTRI2;TRRUST_DoRothEA;Pavlidis2021_CollecTRI;DoRothEA;ARACNe-GTEx_DoRothEA;TRRUST_CollecTRI2;TRRUST;CollecTRI;ExTRI2_CollecTRI2;ENCODE-distal;CollecTRI2;SIGNOR_CollecTRI2;GEREDB_CollecTRI2;Pavlidis_CollecTRI2;GEREDB_CollecTRI;TRRUST_CollecTRI;TFactS_CollecTRI
GATA2	HBG1	CollecTRI;ExTRI2_CollecTRI2;CollecTRI2;GEREDB_CollecTRI;GEREDB_CollecTRI2
GATA2	KLF1	SIGNOR_CollecTRI;ENCODE-proximal;CollecTRI;ExTRI2_CollecTRI2;CollecTRI2;SIGNOR_CollecTRI2
GATA2	LYL1	ORegAnno_DoRothEA;ENCODE-proximal;CollecTRI;ExTRI2_CollecTRI2;PAZAR_DoRothEA;DoRothEA-A_CollecTRI2;CollecTRI2;DoRothEA-A_CollecTRI;DoRothEA;ARACNe-GTEx_DoRothEA;ORegAnno
GATA2	NFE2	NTNUcuration_CollecTRI2;ENCODE-proximal;CollecTRI;ExTRI2_CollecTRI2;NTNU.Curated_CollecTRI;CollecTRI2
GATA2	SPI1	TRRUST;SIGNOR_CollecTRI;NTNUcuration_CollecTRI2;SIGNOR_CollecTRI2;CollecTRI;ExTRI_CollecTRI;ExTRI2_CollecTRI2;NTNU.Curated_CollecTRI;ENCODE-distal;CollecTRI2;TRRUST_DoRothEA;GEREDB_CollecTRI;DoRothEA;GEREDB_CollecTRI2;TRRUST_CollecTRI2;TRRUST_CollecTRI
GATA2	TAL1	JASPAR_DoRothEA;TFactS_CollecTRI;NTNUcuration_CollecTRI2;CollecTRI;ExTRI_CollecTRI;ExTRI2_CollecTRI2;PAZAR_DoRothEA;HOCOMOCO_DoRothEA;TfactS_CollecTRI2;NTNU.Curated_CollecTRI;CollecTRI2;DoRothEA;ARACNe-GTEx_DoRothEA
KLF1	AHSP	ExTRI2_CollecTRI2;CollecTRI;ExTRI_CollecTRI;CollecTRI2
KLF1	BCL11A	CollecTRI;ExTRI_CollecTRI;ExTRI2_CollecTRI2;CollecTRI2;GEREDB_CollecTRI;GEREDB_CollecTRI2
